outcome code,count,year,month,date_formatted,,,,,
HO,1,1999,7,7/1/1999,,1,,,
OT,1,1999,7,7/1/1999,,1,,,
OT,3,1999,3,3/1/1999,,1,,,
LT,1,1999,7,7/1/1999,,1,,,
HO,1,2001,10,10/1/2001,,1,,,
DE,1,2001,10,10/1/2001,,1,,,
OT,1,2001,4,4/1/2001,,1,,,
OT,1,2002,5,5/1/2002,,1,,,
HO,1,2002,12,12/1/2002,,1,,,
OT,2,2002,12,12/1/2002,,1,,,
CA,1,2002,9,9/1/2002,,1,,,
DE,1,2002,2,2/1/2002,,1,,,
HO,1,2002,3,3/1/2002,,1,,,
CA,1,2002,3,3/1/2002,,1,,,
OT,1,2002,9,9/1/2002,,1,,,
CA,1,2002,5,5/1/2002,,1,,,
LT,1,2002,1,1/1/2002,,1,,,
OT,1,2002,1,1/1/2002,,1,,,
OT,2,2002,7,7/1/2002,,1,,,
OT,1,2002,10,10/1/2002,,1,,,
OT,1,2002,11,11/1/2002,,1,,,
CA,1,2002,7,7/1/2002,,1,,,
CA,1,2002,10,10/1/2002,,1,,,
DE,1,2002,3,3/1/2002,,1,,,
OT,4,2002,2,2/1/2002,,1,,,
CA,1,2003,5,5/1/2003,,1,,,
HO,1,2003,6,6/1/2003,,1,,,
DE,2,2003,7,7/1/2003,,1,,,
OT,3,2003,6,6/1/2003,,1,,,
OT,19,2003,9,9/1/2003,,1,,,
HO,8,2003,9,9/1/2003,,1,,,
CA,5,2003,9,9/1/2003,,1,,,
OT,1,2003,3,3/1/2003,,1,,,
DE,1,2003,8,8/1/2003,,1,,,
LT,1,2003,8,8/1/2003,,1,,,
OT,3,2003,5,5/1/2003,,1,,,
OT,1,2003,4,4/1/2003,,1,,,
DE,1,2003,11,11/1/2003,,1,,,
HO,1,2003,4,4/1/2003,,1,,,
HO,1,2003,5,5/1/2003,,1,,,
OT,2,2003,12,12/1/2003,,1,,,
CA,1,2003,6,6/1/2003,,1,,,
HO,3,2003,8,8/1/2003,,1,,,
OT,2,2003,8,8/1/2003,,1,,,
OT,3,2003,11,11/1/2003,,1,,,
LT,1,2003,4,4/1/2003,,1,,,
DE,2,2003,5,5/1/2003,,1,,,
DE,1,2003,12,12/1/2003,,1,,,
LT,1,2003,12,12/1/2003,,1,,,
HO,1,2003,11,11/1/2003,,1,,,
HO,1,2003,10,10/1/2003,,1,,,
LT,1,2003,6,6/1/2003,,1,,,
OT,2,2003,10,10/1/2003,,1,,,
OT,2,2003,7,7/1/2003,,1,,,
DE,2,2003,6,6/1/2003,,1,,,
LT,5,2003,9,9/1/2003,,1,,,
OT,12,2004,6,6/1/2004,,1,,,
DE,1,2004,10,10/1/2004,,1,,,
DS,2,2004,12,12/1/2004,,1,,,
DS,2,2004,5,5/1/2004,,1,,,
HO,3,2004,6,6/1/2004,,1,,,
LT,1,2004,1,1/1/2004,,1,,,
DE,1,2004,1,1/1/2004,,1,,,
CA,1,2004,5,5/1/2004,,1,,,
HO,3,2004,9,9/1/2004,,1,,,
CA,2,2004,3,3/1/2004,,1,,,
OT,4,2004,9,9/1/2004,,1,,,
HO,6,2004,3,3/1/2004,,1,,,
LT,1,2004,8,8/1/2004,,1,,,
DE,8,2004,8,8/1/2004,,1,,,
DE,2,2004,2,2/1/2004,,1,,,
CA,2,2004,9,9/1/2004,,1,,,
OT,8,2004,3,3/1/2004,,1,,,
HO,1,2004,4,4/1/2004,,1,,,
CA,1,2004,6,6/1/2004,,1,,,
OT,15,2004,12,12/1/2004,,1,,,
HO,2,2004,5,5/1/2004,,1,,,
OT,6,2004,5,5/1/2004,,1,,,
HO,4,2004,12,12/1/2004,,1,,,
LT,1,2004,11,11/1/2004,,1,,,
DE,1,2004,11,11/1/2004,,1,,,
OT,9,2004,4,4/1/2004,,1,,,
HO,2,2004,2,2/1/2004,,1,,,
OT,11,2004,8,8/1/2004,,1,,,
DE,4,2004,3,3/1/2004,,1,,,
HO,3,2004,8,8/1/2004,,1,,,
LT,1,2004,3,3/1/2004,,1,,,
OT,10,2004,2,2/1/2004,,1,,,
LT,2,2004,12,12/1/2004,,1,,,
CA,10,2004,7,7/1/2004,,1,,,
CA,1,2004,10,10/1/2004,,1,,,
DE,7,2004,12,12/1/2004,,1,,,
HO,4,2004,11,11/1/2004,,1,,,
DS,4,2004,7,7/1/2004,,1,,,
DE,1,2004,4,4/1/2004,,1,,,
OT,11,2004,11,11/1/2004,,1,,,
LT,1,2004,5,5/1/2004,,1,,,
CA,1,2004,1,1/1/2004,,1,,,
DE,2,2004,5,5/1/2004,,1,,,
DE,1,2004,6,6/1/2004,,1,,,
OT,19,2004,7,7/1/2004,,1,,,
OT,4,2004,10,10/1/2004,,1,,,
LT,3,2004,6,6/1/2004,,1,,,
OT,2,2004,1,1/1/2004,,1,,,
HO,1,2004,10,10/1/2004,,1,,,
HO,5,2004,7,7/1/2004,,1,,,
DS,5,2004,11,11/1/2004,,1,,,
CA,3,2004,11,11/1/2004,,1,,,
CA,6,2004,8,8/1/2004,,1,,,
LT,1,2004,9,9/1/2004,,1,,,
CA,1,2004,2,2/1/2004,,1,,,
DE,2,2004,9,9/1/2004,,1,,,
LT,1,2005,9,9/1/2005,,1,,,
DE,1,2005,9,9/1/2005,,1,,,
CA,1,2005,8,8/1/2005,,1,,,
DS,1,2005,11,11/1/2005,,1,,,
HO,2,2005,7,7/1/2005,,1,,,
OT,19,2005,1,1/1/2005,,1,,,
HO,4,2005,10,10/1/2005,,1,,,
DE,2,2005,6,6/1/2005,,1,,,
HO,1,2005,1,1/1/2005,,1,,,
OT,8,2005,10,10/1/2005,,1,,,
OT,9,2005,7,7/1/2005,,1,,,
LT,1,2005,4,4/1/2005,,1,,,
OT,2,2005,11,11/1/2005,,1,,,
DE,1,2005,4,4/1/2005,,1,,,
DE,1,2005,5,5/1/2005,,1,,,
CA,1,2005,1,1/1/2005,,1,,,
DE,1,2005,12,12/1/2005,,1,,,
CA,5,2005,7,7/1/2005,,1,,,
HO,4,2005,11,11/1/2005,,1,,,
DS,2,2005,10,10/1/2005,,1,,,
DE,1,2005,3,3/1/2005,,1,,,
HO,2,2005,8,8/1/2005,,1,,,
OT,14,2005,2,2/1/2005,,1,,,
OT,7,2005,8,8/1/2005,,1,,,
HO,5,2005,12,12/1/2005,,1,,,
OT,3,2005,5,5/1/2005,,1,,,
OT,8,2005,4,4/1/2005,,1,,,
DS,1,2005,6,6/1/2005,,1,,,
HO,5,2005,4,4/1/2005,,1,,,
CA,1,2005,6,6/1/2005,,1,,,
HO,3,2005,5,5/1/2005,,1,,,
OT,6,2005,12,12/1/2005,,1,,,
DE,1,2005,2,2/1/2005,,1,,,
CA,2,2005,9,9/1/2005,,1,,,
OT,2,2005,3,3/1/2005,,1,,,
HO,2,2005,3,3/1/2005,,1,,,
DE,1,2005,8,8/1/2005,,1,,,
OT,6,2005,9,9/1/2005,,1,,,
HO,3,2005,9,9/1/2005,,1,,,
CA,5,2005,4,4/1/2005,,1,,,
DS,2,2005,5,5/1/2005,,1,,,
HO,2,2005,6,6/1/2005,,1,,,
CA,1,2005,5,5/1/2005,,1,,,
DE,1,2005,1,1/1/2005,,1,,,
OT,5,2005,6,6/1/2005,,1,,,
DE,1,2005,7,7/1/2005,,1,,,
DS,1,2005,12,12/1/2005,,1,,,
CA,1,2006,6,6/1/2006,,1,,,
OT,16,2006,12,12/1/2006,,1,,,
HO,8,2006,5,5/1/2006,,1,,,
OT,11,2006,5,5/1/2006,,1,,,
HO,10,2006,12,12/1/2006,,1,,,
LT,1,2006,11,11/1/2006,,1,,,
DE,21,2006,11,11/1/2006,,1,,,
OT,5,2006,4,4/1/2006,,1,,,
HO,4,2006,3,3/1/2006,,1,,,
DE,2,2006,8,8/1/2006,,1,,,
OT,9,2006,3,3/1/2006,,1,,,
HO,6,2006,9,9/1/2006,,1,,,
CA,2,2006,3,3/1/2006,,1,,,
OT,3,2006,9,9/1/2006,,1,,,
LT,2,2006,10,10/1/2006,,1,,,
LT,1,2006,7,7/1/2006,,1,,,
OT,7,2006,6,6/1/2006,,1,,,
DE,2,2006,7,7/1/2006,,1,,,
DE,7,2006,10,10/1/2006,,1,,,
CA,4,2006,12,12/1/2006,,1,,,
DS,1,2006,12,12/1/2006,,1,,,
HO,4,2006,6,6/1/2006,,1,,,
LT,2,2006,1,1/1/2006,,1,,,
DE,4,2006,1,1/1/2006,,1,,,
CA,1,2006,8,8/1/2006,,1,,,
LT,1,2006,9,9/1/2006,,1,,,
DE,2,2006,9,9/1/2006,,1,,,
DE,2,2006,6,6/1/2006,,1,,,
OT,11,2006,7,7/1/2006,,1,,,
OT,51,2006,10,10/1/2006,,1,,,
HO,3,2006,1,1/1/2006,,1,,,
HO,40,2006,10,10/1/2006,,1,,,
OT,8,2006,1,1/1/2006,,1,,,
DS,1,2006,11,11/1/2006,,1,,,
HO,7,2006,7,7/1/2006,,1,,,
LT,5,2006,12,12/1/2006,,1,,,
CA,1,2006,7,7/1/2006,,1,,,
CA,1,2006,10,10/1/2006,,1,,,
DE,2,2006,12,12/1/2006,,1,,,
HO,56,2006,11,11/1/2006,,1,,,
OT,61,2006,11,11/1/2006,,1,,,
CA,1,2006,1,1/1/2006,,1,,,
DE,2,2006,5,5/1/2006,,1,,,
HO,3,2006,2,2/1/2006,,1,,,
OT,10,2006,8,8/1/2006,,1,,,
HO,11,2006,8,8/1/2006,,1,,,
OT,3,2006,2,2/1/2006,,1,,,
CA,5,2007,3,3/1/2007,,1,,,
OT,18,2007,9,9/1/2007,,1,,,
HO,4,2007,9,9/1/2007,,1,,,
CA,1,2007,4,4/1/2007,,1,,,
DS,1,2007,5,5/1/2007,,1,,,
CA,5,2007,5,5/1/2007,,1,,,
DE,9,2007,1,1/1/2007,,1,,,
LT,4,2007,1,1/1/2007,,1,,,
HO,4,2007,6,6/1/2007,,1,,,
DE,2,2007,10,10/1/2007,,1,,,
CA,3,2007,12,12/1/2007,,1,,,
DE,2,2007,7,7/1/2007,,1,,,
OT,10,2007,6,6/1/2007,,1,,,
DS,3,2007,12,12/1/2007,,1,,,
HO,7,2007,12,12/1/2007,,1,,,
OT,20,2007,5,5/1/2007,,1,,,
OT,9,2007,4,4/1/2007,,1,,,
DE,4,2007,11,11/1/2007,,1,,,
LT,10,2007,11,11/1/2007,,1,,,
HO,4,2007,4,4/1/2007,,1,,,
DS,1,2007,6,6/1/2007,,1,,,
HO,5,2007,5,5/1/2007,,1,,,
OT,14,2007,12,12/1/2007,,1,,,
CA,1,2007,6,6/1/2007,,1,,,
CA,2,2007,9,9/1/2007,,1,,,
LT,2,2007,2,2/1/2007,,1,,,
DS,1,2007,9,9/1/2007,,1,,,
OT,15,2007,3,3/1/2007,,1,,,
HO,9,2007,3,3/1/2007,,1,,,
LT,3,2007,8,8/1/2007,,1,,,
DS,3,2007,1,1/1/2007,,1,,,
OT,18,2007,11,11/1/2007,,1,,,
DE,2,2007,4,4/1/2007,,1,,,
DE,3,2007,5,5/1/2007,,1,,,
CA,5,2007,1,1/1/2007,,1,,,
LT,2,2007,5,5/1/2007,,1,,,
CA,2,2007,10,10/1/2007,,1,,,
CA,1,2007,7,7/1/2007,,1,,,
LT,3,2007,12,12/1/2007,,1,,,
DS,2,2007,7,7/1/2007,,1,,,
HO,6,2007,11,11/1/2007,,1,,,
DS,5,2007,10,10/1/2007,,1,,,
HO,6,2007,8,8/1/2007,,1,,,
LT,1,2007,3,3/1/2007,,1,,,
DE,9,2007,3,3/1/2007,,1,,,
OT,21,2007,2,2/1/2007,,1,,,
HO,7,2007,2,2/1/2007,,1,,,
OT,10,2007,8,8/1/2007,,1,,,
DE,2,2007,9,9/1/2007,,1,,,
CA,2,2007,2,2/1/2007,,1,,,
LT,5,2007,9,9/1/2007,,1,,,
DS,4,2007,2,2/1/2007,,1,,,
CA,2,2007,8,8/1/2007,,1,,,
DS,2,2007,8,8/1/2007,,1,,,
HO,4,2007,7,7/1/2007,,1,,,
OT,14,2007,1,1/1/2007,,1,,,
HO,10,2007,10,10/1/2007,,1,,,
LT,2,2007,6,6/1/2007,,1,,,
HO,6,2007,1,1/1/2007,,1,,,
OT,13,2007,10,10/1/2007,,1,,,
OT,16,2007,7,7/1/2007,,1,,,
DE,3,2007,6,6/1/2007,,1,,,
DE,1,2008,11,11/1/2008,,1,,,
OT,20,2008,4,4/1/2008,,1,,,
LT,2,2008,11,11/1/2008,,1,,,
OT,13,2008,5,5/1/2008,,1,,,
HO,14,2008,12,12/1/2008,,1,,,
OT,16,2008,12,12/1/2008,,1,,,
HO,6,2008,5,5/1/2008,,1,,,
CA,2,2008,6,6/1/2008,,1,,,
HO,9,2008,4,4/1/2008,,1,,,
DS,6,2008,6,6/1/2008,,1,,,
DS,18,2008,9,9/1/2008,,1,,,
OT,26,2008,3,3/1/2008,,1,,,
LT,2,2008,2,2/1/2008,,1,,,
CA,3,2008,9,9/1/2008,,1,,,
DE,11,2008,2,2/1/2008,,1,,,
DE,3,2008,8,8/1/2008,,1,,,
HO,12,2008,3,3/1/2008,,1,,,
LT,3,2008,8,8/1/2008,,1,,,
OT,36,2008,9,9/1/2008,,1,,,
DS,2,2008,3,3/1/2008,,1,,,
HO,10,2008,9,9/1/2008,,1,,,
DE,2,2008,1,1/1/2008,,1,,,
CA,2,2008,5,5/1/2008,,1,,,
DS,2,2008,4,4/1/2008,,1,,,
HO,11,2008,6,6/1/2008,,1,,,
DS,1,2008,5,5/1/2008,,1,,,
DS,3,2008,12,12/1/2008,,1,,,
DE,5,2008,10,10/1/2008,,1,,,
DE,3,2008,7,7/1/2008,,1,,,
LT,3,2008,10,10/1/2008,,1,,,
OT,12,2008,6,6/1/2008,,1,,,
DE,4,2008,9,9/1/2008,,1,,,
LT,1,2008,9,9/1/2008,,1,,,
CA,1,2008,2,2/1/2008,,1,,,
CA,1,2008,8,8/1/2008,,1,,,
HO,10,2008,7,7/1/2008,,1,,,
DS,2,2008,11,11/1/2008,,1,,,
OT,35,2008,1,1/1/2008,,1,,,
HO,18,2008,10,10/1/2008,,1,,,
HO,23,2008,1,1/1/2008,,1,,,
OT,27,2008,10,10/1/2008,,1,,,
OT,19,2008,7,7/1/2008,,1,,,
LT,1,2008,6,6/1/2008,,1,,,
DE,1,2008,6,6/1/2008,,1,,,
CA,6,2008,1,1/1/2008,,1,,,
DE,3,2008,5,5/1/2008,,1,,,
LT,4,2008,5,5/1/2008,,1,,,
DE,2,2008,4,4/1/2008,,1,,,
OT,25,2008,11,11/1/2008,,1,,,
LT,5,2008,4,4/1/2008,,1,,,
HO,14,2008,11,11/1/2008,,1,,,
DS,1,2008,7,7/1/2008,,1,,,
DS,3,2008,10,10/1/2008,,1,,,
DE,3,2008,12,12/1/2008,,1,,,
CA,2,2008,7,7/1/2008,,1,,,
OT,14,2008,2,2/1/2008,,1,,,
HO,9,2008,8,8/1/2008,,1,,,
LT,1,2008,3,3/1/2008,,1,,,
DE,8,2008,3,3/1/2008,,1,,,
OT,13,2008,8,8/1/2008,,1,,,
HO,6,2008,2,2/1/2008,,1,,,
LT,3,2009,11,11/1/2009,,1,,,
DE,5,2009,11,11/1/2009,,1,,,
OT,34,2009,4,4/1/2009,,1,,,
OT,101,2009,5,5/1/2009,,1,,,
HO,31,2009,12,12/1/2009,,1,,,
CA,9,2009,6,6/1/2009,,1,,,
OT,56,2009,12,12/1/2009,,1,,,
HO,74,2009,5,5/1/2009,,1,,,
DS,1,2009,6,6/1/2009,,1,,,
HO,30,2009,4,4/1/2009,,1,,,
OT,50,2009,3,3/1/2009,,1,,,
DS,2,2009,9,9/1/2009,,1,,,
DE,3,2009,2,2/1/2009,,1,,,
LT,4,2009,2,2/1/2009,,1,,,
LT,1,2009,8,8/1/2009,,1,,,
HO,21,2009,3,3/1/2009,,1,,,
DE,6,2009,8,8/1/2009,,1,,,
OT,64,2009,9,9/1/2009,,1,,,
CA,14,2009,3,3/1/2009,,1,,,
HO,40,2009,9,9/1/2009,,1,,,
HO,41,2009,6,6/1/2009,,1,,,
LT,5,2009,1,1/1/2009,,1,,,
DE,3,2009,1,1/1/2009,,1,,,
DS,3,2009,4,4/1/2009,,1,,,
CA,1,2009,5,5/1/2009,,1,,,
DS,1,2009,5,5/1/2009,,1,,,
DS,3,2009,12,12/1/2009,,1,,,
LT,7,2009,10,10/1/2009,,1,,,
LT,5,2009,7,7/1/2009,,1,,,
OT,72,2009,6,6/1/2009,,1,,,
DE,12,2009,7,7/1/2009,,1,,,
DE,2,2009,10,10/1/2009,,1,,,
CA,3,2009,12,12/1/2009,,1,,,
LT,18,2009,9,9/1/2009,,1,,,
CA,1,2009,2,2/1/2009,,1,,,
DE,3,2009,9,9/1/2009,,1,,,
CA,3,2009,8,8/1/2009,,1,,,
HO,64,2009,10,10/1/2009,,1,,,
OT,32,2009,1,1/1/2009,,1,,,
HO,56,2009,7,7/1/2009,,1,,,
DS,2,2009,11,11/1/2009,,1,,,
DE,7,2009,6,6/1/2009,,1,,,
OT,99,2009,7,7/1/2009,,1,,,
OT,74,2009,10,10/1/2009,,1,,,
HO,10,2009,1,1/1/2009,,1,,,
LT,5,2009,6,6/1/2009,,1,,,
LT,7,2009,5,5/1/2009,,1,,,
CA,5,2009,1,1/1/2009,,1,,,
DE,12,2009,5,5/1/2009,,1,,,
LT,4,2009,4,4/1/2009,,1,,,
DE,7,2009,4,4/1/2009,,1,,,
OT,36,2009,11,11/1/2009,,1,,,
DS,2,2009,1,1/1/2009,,1,,,
DS,13,2009,10,10/1/2009,,1,,,
HO,19,2009,11,11/1/2009,,1,,,
DS,3,2009,7,7/1/2009,,1,,,
LT,6,2009,12,12/1/2009,,1,,,
CA,1,2009,7,7/1/2009,,1,,,
CA,2,2009,10,10/1/2009,,1,,,
DE,6,2009,12,12/1/2009,,1,,,
OT,29,2009,2,2/1/2009,,1,,,
DE,2,2009,3,3/1/2009,,1,,,
LT,4,2009,3,3/1/2009,,1,,,
HO,31,2009,8,8/1/2009,,1,,,
OT,42,2009,8,8/1/2009,,1,,,
HO,16,2009,2,2/1/2009,,1,,,
OT,91,2010,11,11/1/2010,,1,,,
DS,3,2010,1,1/1/2010,,1,,,
DE,5,2010,4,4/1/2010,,1,,,
LT,7,2010,4,4/1/2010,,1,,,
DE,9,2010,5,5/1/2010,,1,,,
CA,1,2010,1,1/1/2010,,1,,,
LT,1,2010,5,5/1/2010,,1,,,
CA,8,2010,7,7/1/2010,,1,,,
DE,24,2010,12,12/1/2010,,1,,,
CA,1,2010,10,10/1/2010,,1,,,
LT,14,2010,12,12/1/2010,,1,,,
DS,4,2010,10,10/1/2010,,1,,,
HO,61,2010,11,11/1/2010,,1,,,
LT,5,2010,3,3/1/2010,,1,,,
HO,52,2010,8,8/1/2010,,1,,,
DE,11,2010,3,3/1/2010,,1,,,
OT,67,2010,2,2/1/2010,,1,,,
HO,40,2010,2,2/1/2010,,1,,,
OT,94,2010,8,8/1/2010,,1,,,
DE,19,2010,9,9/1/2010,,1,,,
CA,9,2010,2,2/1/2010,,1,,,
LT,9,2010,9,9/1/2010,,1,,,
DS,5,2010,2,2/1/2010,,1,,,
CA,6,2010,8,8/1/2010,,1,,,
DS,3,2010,8,8/1/2010,,1,,,
HO,45,2010,10,10/1/2010,,1,,,
OT,70,2010,1,1/1/2010,,1,,,
HO,71,2010,7,7/1/2010,,1,,,
DS,5,2010,11,11/1/2010,,1,,,
CA,10,2010,11,11/1/2010,,1,,,
LT,8,2010,6,6/1/2010,,1,,,
OT,121,2010,7,7/1/2010,,1,,,
OT,62,2010,10,10/1/2010,,1,,,
HO,47,2010,1,1/1/2010,,1,,,
DE,11,2010,6,6/1/2010,,1,,,
CA,4,2010,3,3/1/2010,,1,,,
OT,111,2010,9,9/1/2010,,1,,,
DS,3,2010,3,3/1/2010,,1,,,
HO,68,2010,9,9/1/2010,,1,,,
DS,5,2010,5,5/1/2010,,1,,,
CA,1,2010,4,4/1/2010,,1,,,
DS,1,2010,4,4/1/2010,,1,,,
CA,1,2010,5,5/1/2010,,1,,,
DE,7,2010,1,1/1/2010,,1,,,
LT,6,2010,1,1/1/2010,,1,,,
HO,68,2010,6,6/1/2010,,1,,,
DE,11,2010,7,7/1/2010,,1,,,
DE,15,2010,10,10/1/2010,,1,,,
OT,133,2010,6,6/1/2010,,1,,,
LT,18,2010,10,10/1/2010,,1,,,
LT,9,2010,7,7/1/2010,,1,,,
DS,18,2010,12,12/1/2010,,1,,,
HO,103,2010,12,12/1/2010,,1,,,
OT,103,2010,5,5/1/2010,,1,,,
OT,91,2010,4,4/1/2010,,1,,,
DE,12,2010,11,11/1/2010,,1,,,
LT,10,2010,11,11/1/2010,,1,,,
HO,43,2010,4,4/1/2010,,1,,,
DS,1,2010,6,6/1/2010,,1,,,
HO,62,2010,5,5/1/2010,,1,,,
OT,132,2010,12,12/1/2010,,1,,,
CA,2,2010,6,6/1/2010,,1,,,
CA,5,2010,9,9/1/2010,,1,,,
LT,6,2010,2,2/1/2010,,1,,,
DE,10,2010,2,2/1/2010,,1,,,
DS,8,2010,9,9/1/2010,,1,,,
OT,99,2010,3,3/1/2010,,1,,,
DE,17,2010,8,8/1/2010,,1,,,
LT,8,2010,8,8/1/2010,,1,,,
HO,49,2010,3,3/1/2010,,1,,,
OT,187,2011,4,4/1/2011,,1,,,
DE,24,2011,11,11/1/2011,,1,,,
LT,17,2011,11,11/1/2011,,1,,,
HO,161,2011,12,12/1/2011,,1,,,
OT,130,2011,5,5/1/2011,,1,,,
HO,92,2011,5,5/1/2011,,1,,,
OT,209,2011,12,12/1/2011,,1,,,
CA,3,2011,6,6/1/2011,,1,,,
HO,158,2011,4,4/1/2011,,1,,,
DS,11,2011,6,6/1/2011,,1,,,
DS,7,2011,9,9/1/2011,,1,,,
OT,109,2011,3,3/1/2011,,1,,,
CA,4,2011,9,9/1/2011,,1,,,
LT,5,2011,2,2/1/2011,,1,,,
DE,13,2011,2,2/1/2011,,1,,,
DE,28,2011,8,8/1/2011,,1,,,
HO,95,2011,3,3/1/2011,,1,,,
LT,10,2011,8,8/1/2011,,1,,,
OT,194,2011,9,9/1/2011,,1,,,
DS,11,2011,3,3/1/2011,,1,,,
CA,1,2011,3,3/1/2011,,1,,,
HO,125,2011,9,9/1/2011,,1,,,
DS,8,2011,4,4/1/2011,,1,,,
CA,1,2011,5,5/1/2011,,1,,,
DE,23,2011,1,1/1/2011,,1,,,
LT,12,2011,1,1/1/2011,,1,,,
HO,128,2011,6,6/1/2011,,1,,,
DS,5,2011,5,5/1/2011,,1,,,
CA,1,2011,4,4/1/2011,,1,,,
DS,7,2011,12,12/1/2011,,1,,,
DE,18,2011,7,7/1/2011,,1,,,
DE,26,2011,10,10/1/2011,,1,,,
CA,6,2011,12,12/1/2011,,1,,,
OT,182,2011,6,6/1/2011,,1,,,
LT,16,2011,10,10/1/2011,,1,,,
LT,8,2011,7,7/1/2011,,1,,,
DS,1,2011,2,2/1/2011,,1,,,
DE,23,2011,9,9/1/2011,,1,,,
CA,1,2011,2,2/1/2011,,1,,,
LT,24,2011,9,9/1/2011,,1,,,
DS,1,2011,8,8/1/2011,,1,,,
CA,6,2011,8,8/1/2011,,1,,,
CA,4,2011,11,11/1/2011,,1,,,
OT,108,2011,1,1/1/2011,,1,,,
HO,132,2011,10,10/1/2011,,1,,,
DS,7,2011,11,11/1/2011,,1,,,
HO,77,2011,7,7/1/2011,,1,,,
LT,25,2011,6,6/1/2011,,1,,,
OT,112,2011,7,7/1/2011,,1,,,
HO,81,2011,1,1/1/2011,,1,,,
OT,229,2011,10,10/1/2011,,1,,,
DE,39,2011,6,6/1/2011,,1,,,
DE,22,2011,5,5/1/2011,,1,,,
CA,4,2011,1,1/1/2011,,1,,,
LT,25,2011,5,5/1/2011,,1,,,
OT,173,2011,11,11/1/2011,,1,,,
